Player Name,Kills (Maps 1-4),Kills (Maps 5-6)
shini,1.0,0.75
LOTR31,1.125,1.5
Rileymekinac,0.875,0.75
Deeds,1.875,0.0
Onmuu,1.125,0.0
gent,0.625,1.0
Nocturnal,0.75,0.25
FunFPS,1.5,0.5
Reptar,0.5,0.25
CcobraxX,0.875,0.25
Twitch_Kap3,1.625,0.0
Trevstacks,0.625,0.5
Zer0,1.625,3.0
Genburten,1.5,3.5
Imperialhal,2.125,2.75
Dropped,0.5,0.0
knoqd,1.0,0.5
Shooby,1.5,1.0
Bursty,1.0,0.0
wifi0,0.75,0.0
Arkology,0.25,0.0
xenial,0.875,0.75
OsivienTv,0.625,1.0
dooplex,0.75,0.5
Zachmazer,0.375,0.25
iuxford,0.375,0.5
Slayr,0.625,0.5
Reps,0.5,0.0
Verhulst,1.0,0.5
zap,0.5,1.0
Sweet,2.0,2.0
Fuhhnq,1.25,1.5
Sikezz,0.5,0.5
Hambino,0.0,1.5
depreslyy,0.75,0.0
Chasemob,0.25,1.5
Coce,0.0,0.0
carter,0.75,0.5
danmanntic,0.25,2.0
Emtee,1.0,0.5
Gild,0.5,1.5
Wxltzy,1.5,1.0
MJ,0.75,2.5
WizardCoin23,0.0,1.0
AeoFps,0.25,0.5
jtripz,0.0,0.5
wraiIs,0.75,0.0
daviswave,0.0,0.0
Awope,0.375,0.75
DieNastied,1.0,0.75
Lazurr,0.625,0.5
KIMCHI,0.5,0.0
Monsoon,0.75,0.5
Lou,3.3333333333333335,1.0
Phony,1.5,1.5
Xynew,1.125,1.5
Koyful,2.25,1.0
Aidan,0.625,1.5
Vein,1.625,1.25
Frexs,0.875,1.5
sauceror,0.75,1.0
ChaoticMuch,0.75,0.0
Naughty,0.75,1.0
ImMadness,0.5,2.5
Keon,0.5,1.5
Vaxlon,2.0,1.5
RamBeau,0.75,1.0
Rkn,0.0,0.0
McLovin,1.0,0.0
Nano,3.0,0.0
qzierr,1.25,0.0
Bigluie,0.75,1.0
Crook,1.0,1.5
Jaeyeon,1.0,0.5
Stuhni,2.5,1.0
Adiuvant,0.75,1.0
Cloaked,0.25,1.0
CallSpades,0.0,0.0
jaguaresl,1.25,2.0
NeazuI,1.75,1.0
lYanYal,1.25,0.5
iiTzTimmy,0.25,1.5
Dezignful,0.5,0.0
Enemy,0.75,1.5
Jeloan,0.0,0.5
retzi,0.25,0.0
Albralelie,0.75,2.0
Blinkzr,1.25,1.5
Akimboh,1.0,2.5
Reedz,1.0,2.0
